iter	RMSE
0	74940.1091
1	73797.48726
2	72766.52986
3	71749.72423
4	70871.70809
5	69847.39201
6	68997.28828
7	68053.85485
8	67099.68527
9	66294.33072
10	65476.46498
11	64679.1367
12	63850.12997
13	63071.12679
14	62294.09696
15	61481.68761
16	60712.86795
17	59905.94867
18	59218.10782
19	58479.12118
20	57811.26482
21	57135.07873
22	56577.51365
23	55968.13101
24	55317.9648
25	54693.24138
26	54102.56208
27	53472.9328
28	52900.08633
29	52369.93307
30	51808.34509
31	51263.09093
32	50754.97296
33	50172.36351
34	49666.86986
35	49129.72246
36	48654.38722
37	48135.02271
38	47643.74044
39	47183.81469
40	46720.5354
41	46265.74339
42	45867.51681
43	45442.62371
44	45051.19877
45	44712.8161
46	44354.66389
47	43999.15933
48	43649.97885
49	43327.12097
50	42965.34349
51	42573.7086
52	42241.47183
53	41863.94761
54	41540.00364
55	41198.36579
56	40914.85657
57	40582.96376
58	40299.74141
59	39948.0988
60	39659.80906
61	39360.02142
62	39099.13287
63	38785.97807
64	38495.18627
65	38188.88794
66	37986.97271
67	37713.01096
68	37433.77888
69	37170.47112
70	36885.8979
71	36662.00548
72	36413.43955
73	36170.69031
74	35955.71344
75	35732.60708
76	35491.61953
77	35311.65415
78	35143.8004
79	34996.55618
80	34758.73047
81	34490.56772
82	34283.06905
83	34073.07451
84	33860.52327
85	33702.73015
86	33501.81663
87	33273.60071
88	33125.78611
89	32938.40623
90	32761.93857
91	32585.40574
92	32429.52852
93	32236.64667
94	32043.07197
95	31880.07126
96	31710.93317
97	31547.97079
98	31415.89893
99	31226.75126
100	31102.51317
101	30954.14054
102	30794.35632
103	30687.72797
104	30550.34508
105	30419.42907
106	30268.42556
107	30166.44039
108	30016.38944
109	29909.60971
110	29748.65131
111	29626.9812
112	29492.59742
113	29387.88127
114	29209.97258
115	29060.56146
116	28939.35953
117	28805.60296
118	28657.62838
119	28512.59633
120	28362.56515
121	28214.58228
122	28079.34269
123	27943.95886
124	27850.11894
125	27740.35311
126	27634.12696
127	27503.35186
128	27370.6311
129	27280.42932
130	27203.02952
131	27124.11228
132	27032.95939
133	26935.90474
134	26850.60319
135	26743.06853
136	26639.83711
137	26523.54673
138	26412.21748
139	26314.43845
140	26212.00032
141	26111.88267
142	26028.38917
143	25955.57067
144	25891.05474
145	25792.04574
146	25770.36734
147	25693.99456
148	25590.62521
149	25446.07537
150	25423.00719
151	25327.01363
152	25266.69281
153	25202.75557
154	25106.54899
155	25011.41208
156	24932.24748
157	24908.15395
158	24800.45142
159	24742.60508
160	24648.42326
161	24601.17382
162	24542.8994
163	24453.4544
164	24383.37052
165	24313.41612
166	24248.33235
167	24175.85769
168	24137.17596
169	24090.4201
170	24005.20585
171	23937.34235
172	23865.1981
173	23845.84043
174	23805.2065
175	23761.91698
176	23704.80641
177	23690.12139
178	23657.44964
179	23607.26221
180	23598.96956
181	23554.12073
182	23485.51633
183	23408.91927
184	23345.28476
185	23305.74234
186	23246.78771
187	23209.47439
188	23135.53351
189	23086.41475
190	23027.27889
191	23011.70746
192	22982.42568
193	22926.05355
194	22886.42099
195	22856.02683
196	22785.5075
197	22738.32151
198	22688.48868
199	22632.08113
200	22621.84594
201	22615.12443
202	22600.72075
203	22552.29212
204	22509.21557
205	22460.26936
206	22409.29221
207	22392.13159
208	22385.95229
209	22336.57916
210	22322.70865
211	22289.90699
212	22244.48072
213	22207.67466
214	22158.83849
215	22105.98536
216	22054.81222
217	22027.72547
218	21990.62324
219	21960.51714
220	21943.4248
221	21899.01961
222	21854.70886
223	21809.80495
224	21777.88879
225	21740.18401
226	21734.01734
227	21709.23322
228	21669.08934
229	21654.18298
230	21608.19092
231	21571.45393
232	21529.98627
233	21490.74331
234	21471.68697
235	21466.84302
236	21462.10834
237	21427.58345
238	21414.94307
239	21378.2885
240	21367.90461
241	21327.89309
242	21293.02658
243	21247.06349
244	21223.90361
245	21183.02288
246	21157.97395
247	21127.26567
248	21087.05871
249	21052.97964
250	21008.62787
251	20985.97981
252	20958.42926
253	20913.18929
254	20871.50298
255	20836.82388
256	20796.23651
257	20792.2023
258	20780.05101
259	20742.10638
260	20732.58249
261	20722.31433
262	20697.53487
263	20681.91984
264	20659.64575
265	20649.16757
266	20598.03737
267	20597.9467
268	20562.84755
269	20523.65621
270	20484.98673
271	20456.96669
272	20448.93231
273	20430.90423
274	20402.33722
275	20362.80159
276	20323.51788
277	20293.75799
278	20285.50061
279	20268.77792
280	20237.7451
281	20224.87619
282	20204.42088
283	20201.20396
284	20143.75033
285	20115.34229
286	20077.06657
287	20028.53426
288	19983.69293
289	19967.01663
290	19953.64643
291	19906.10124
292	19896.07266
