ApplicantYears,AnnualEarnings,RequestedSum,TrustMetric,WorkDuration,ActiveAccounts,OfferRate,RepayPeriod,DebtFactor,OwnsProperty,FamilyObligation,JointApplicant,QualificationLevel_High School,QualificationLevel_Master's,QualificationLevel_PhD,WorkCategory_Part-time,WorkCategory_Self-employed,WorkCategory_Unemployed,RelationshipStatus_Married,RelationshipStatus_Single,FundUseCase_Business,FundUseCase_Education,FundUseCase_Home,FundUseCase_Other,RiskFlag
23,27572,229992,309,106,4,6.04,24,0.34,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,0
45,113188,74419,709,18,4,17.17,48,0.24,0,1,0,False,False,False,True,False,False,True,False,False,False,False,True,0
28,102613,8635,706,47,4,6.75,60,0.73,1,1,0,False,True,False,False,True,False,True,False,False,True,False,False,0
47,48486,245755,667,26,2,22.04,48,0.37,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,0
18,88172,32171,392,8,2,21.83,48,0.38,0,0,1,True,False,False,False,True,False,True,False,False,False,False,True,0
64,72825,28981,589,73,3,5.28,24,0.3,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,0
62,46405,220639,505,2,1,9.46,36,0.14,1,1,1,False,False,True,False,False,True,True,False,False,False,False,False,0
59,115505,112723,703,54,4,12.24,48,0.6,1,1,0,False,False,True,False,False,False,True,False,False,True,False,False,0
57,146983,43929,446,117,3,2.58,36,0.61,1,1,1,True,False,False,False,True,False,False,True,False,False,True,False,0
34,100537,232692,556,13,4,4.79,60,0.47,1,1,0,False,True,False,False,False,True,True,False,False,False,True,False,0
52,16799,130354,575,64,4,2.79,36,0.84,1,1,0,False,False,False,False,True,False,True,False,False,False,True,False,0
34,24191,89861,715,77,1,5.76,12,0.79,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,0
34,24178,203967,484,71,3,16.85,60,0.34,1,0,1,False,False,False,False,True,False,False,False,False,False,True,False,0
58,34707,173952,595,103,1,5.15,12,0.37,1,1,1,False,False,False,False,True,False,False,True,False,False,False,True,0
41,130680,194609,819,28,2,7.38,36,0.35,1,0,1,False,False,True,True,False,False,True,False,False,False,False,True,0
69,146648,31347,496,65,1,19.23,36,0.37,0,0,1,False,True,False,False,True,False,False,False,False,False,True,False,0
18,146803,101433,678,77,4,13.21,24,0.69,1,0,1,False,True,False,True,False,False,False,True,False,True,False,False,0
37,97667,97122,744,97,4,8.53,24,0.58,0,1,1,False,True,False,True,False,False,True,False,True,False,False,False,0
43,39726,24889,351,26,3,14.83,24,0.41,0,1,0,False,False,False,False,False,False,True,False,False,False,True,False,0
44,52446,165545,442,114,2,7.02,36,0.62,1,1,1,True,False,False,True,False,False,False,True,False,False,False,True,0
53,141500,237928,515,36,1,13.45,36,0.2,1,1,1,True,False,False,True,False,False,False,True,False,True,False,False,0
57,104654,24087,568,104,2,3.63,24,0.35,1,0,0,False,False,False,False,True,False,False,True,True,False,False,False,0
50,144233,84727,350,3,4,17.87,60,0.57,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,0
62,114896,131367,779,35,1,10.24,36,0.43,0,0,0,False,False,False,False,False,True,False,True,True,False,False,False,0
40,140760,5404,751,67,3,8.25,48,0.42,0,1,1,False,False,True,False,True,False,False,False,True,False,False,False,0
18,31807,95364,383,106,3,2.16,48,0.57,0,1,1,False,False,False,False,True,False,False,False,True,False,False,False,0
41,94853,12633,400,69,3,9.74,48,0.26,1,0,0,False,False,False,False,False,True,False,True,False,True,False,False,0
