iter	Accuracy	MultiClass
0	0.7150356577	1.001027691
1	0.7150356577	0.9356419113
2	0.7150356577	0.8814159094
3	0.7154318542	0.8377139546
4	0.7162242472	0.8037261702
5	0.7179080824	0.7751943983
6	0.7177099842	0.7509902786
7	0.7204833597	0.7301759201
8	0.7186014263	0.7134633023
9	0.7199881141	0.699990504
10	0.7226624406	0.6859856868
11	0.7252377179	0.6737842578
12	0.7277139461	0.6639513165
13	0.7290015848	0.6543103945
14	0.7294968304	0.6465883828
15	0.7315768621	0.6392241715
16	0.7344492868	0.6316387426
17	0.737618859	0.6250787263
18	0.7402931854	0.6193015946
19	0.7432646593	0.6134750305
20	0.7465332805	0.6080974511
21	0.7486133122	0.6033930105
22	0.7495047544	0.5996528523
23	0.7502971474	0.5956885995
24	0.7523771791	0.5923196627
25	0.7525752773	0.5894589968
26	0.7543581616	0.5867429984
27	0.7565372425	0.5827953757
28	0.7578248811	0.5806218022
29	0.7583201268	0.5785293828
30	0.7598058637	0.5763669509
31	0.7604001585	0.5743369966
32	0.7621830428	0.5721543362
33	0.7627773376	0.5702948283
34	0.7629754358	0.5688624823
35	0.7642630745	0.5670814807
36	0.764659271	0.5658350645
37	0.7643621236	0.5642249761
38	0.7657488114	0.5626717179
39	0.7667393027	0.5614923825
40	0.7674326466	0.5602990522
41	0.7695126783	0.558294258
42	0.7699088748	0.5573818817
43	0.770800317	0.5554993079
44	0.77159271	0.5542497409
45	0.7716917591	0.5529941455
46	0.7724841521	0.551649848
47	0.7732765452	0.550539741
48	0.7737717908	0.5490550369
49	0.7742670365	0.5477159518
50	0.7757527734	0.5467552585
51	0.7778328051	0.5443274098
52	0.7790213946	0.5430730102
53	0.7798137876	0.5422807528
54	0.7802099842	0.5406436043
55	0.7811014263	0.539734203
56	0.7804080824	0.5387784107
57	0.7811014263	0.5373249718
58	0.7822900158	0.5363601307
59	0.7837757528	0.5349716008
60	0.7840729002	0.532465273
61	0.7837757528	0.5310628666
62	0.785459588	0.5295938934
63	0.786251981	0.5286213576
64	0.7860538827	0.5270477599
65	0.7866481775	0.5259890596
66	0.7879358162	0.5246036367
67	0.787836767	0.523464099
68	0.7885301109	0.5224459567
69	0.7894215531	0.5213060484
70	0.790114897	0.520847101
71	0.7907091918	0.5194563528
72	0.7920958796	0.5184520552
73	0.7918977813	0.5174957829
74	0.7922939778	0.5163946913
75	0.7940768621	0.5152765683
76	0.7933835182	0.5141619234
77	0.7944730586	0.5123887481
78	0.7951664025	0.5106949189
79	0.7959587956	0.5092626216
80	0.7968502377	0.5078176647
81	0.7973454834	0.5067351588
82	0.7984350238	0.5054839729
83	0.7997226624	0.5045101324
84	0.7991283677	0.5038080616
85	0.800118859	0.5027588335
86	0.8005150555	0.5012376316
87	0.8008122029	0.5003065495
88	0.800911252	0.4991439926
89	0.8013074485	0.4981247234
90	0.8012083994	0.4977256816
91	0.8019017433	0.496096841
92	0.8028922345	0.4954176092
93	0.8042789223	0.4941609547
94	0.8044770206	0.4935884534
95	0.8049722662	0.4927254697
96	0.8060618067	0.4917031086
97	0.806358954	0.4907556305
98	0.8068541997	0.4900753818
99	0.8073494453	0.4892500384
100	0.8081418384	0.4883702517
101	0.8077456418	0.4875776338
102	0.8083399366	0.4867994625
103	0.81022187	0.4852785517
104	0.8101228209	0.4843001651
105	0.8115095087	0.4830907383
106	0.8121038035	0.4824016834
107	0.8121038035	0.4815389763
108	0.8130942948	0.4807003109
109	0.8126980983	0.4799297052
110	0.8137876387	0.4787515514
111	0.8137876387	0.4782205866
112	0.81477813	0.4774602137
113	0.81477813	0.476473554
114	0.8159667195	0.4754625714
115	0.8162638669	0.4745912351
116	0.8165610143	0.4739158519
117	0.8176505547	0.4727790028
118	0.8188391442	0.4713359575
119	0.8196315372	0.4702236695
120	0.8204239303	0.4693842279
121	0.8212163233	0.4683348539
122	0.8217115689	0.4674724016
123	0.8216125198	0.4674498839
124	0.8222068146	0.4661636223
125	0.8222068146	0.4653586162
126	0.8237916006	0.4641976973
127	0.8231973059	0.4637762196
128	0.8237916006	0.4626593755
129	0.8229992076	0.4618520744
130	0.8244849445	0.4606654899
131	0.8251782884	0.4600919072
132	0.8255744849	0.4589967775
133	0.8262678288	0.4576633711
134	0.8267630745	0.4576117807
135	0.8275554675	0.4568659777
136	0.8277535658	0.456275379
137	0.8288431062	0.455456691
138	0.8288431062	0.4543365279
139	0.8289421553	0.4543038993
140	0.8293383518	0.4535713392
141	0.8295364501	0.4526994735
142	0.8297345483	0.4515816085
143	0.8297345483	0.4509147049
144	0.8306259905	0.450216128
145	0.8312202853	0.4490720258
146	0.8311212361	0.4481294787
147	0.8308240887	0.4473793175
148	0.8323098257	0.446179488
149	0.8329041204	0.4452706718
150	0.834885103	0.4446160178
151	0.8353803487	0.4433621564
152	0.8358755943	0.4423540596
153	0.8365689382	0.4413000768
154	0.8367670365	0.4403920125
155	0.8370641838	0.4393640806
156	0.8374603803	0.4387021052
157	0.8394413629	0.4378694475
158	0.8394413629	0.4378558817
159	0.8398375594	0.4371986704
160	0.8398375594	0.4361881045
161	0.8397385103	0.4353042327
162	0.8401347068	0.4347863936
163	0.8406299525	0.4343566681
164	0.8404318542	0.4339585991
165	0.8419175911	0.4330592782
166	0.8423137876	0.431700404
167	0.8423137876	0.4307362358
168	0.8433042789	0.4298656097
169	0.8439976228	0.4289808257
170	0.8450871632	0.428234417
171	0.8450871632	0.42761575
172	0.8460776545	0.4268384566
173	0.8459786054	0.4260756542
174	0.846473851	0.4254290084
175	0.8465729002	0.4246929082
176	0.8473652932	0.4239734741
177	0.8474643423	0.4232399226
178	0.8480586371	0.4224515855
179	0.8485538827	0.4216093241
180	0.8486529319	0.420871136
181	0.849544374	0.4202479546
182	0.8490491284	0.4194544095
183	0.8497424723	0.4182771124
184	0.849544374	0.4175544133
185	0.8502377179	0.4170254218
186	0.8508320127	0.4161300271
187	0.8507329635	0.4154228152
188	0.8504358162	0.415398834
189	0.8507329635	0.4146067676
190	0.8509310618	0.414073941
191	0.8513272583	0.4130889986
192	0.851822504	0.4126477227
193	0.8528129952	0.4120667529
194	0.8530110935	0.4111897172
195	0.8533082409	0.4105994073
196	0.8530110935	0.4100999929
197	0.8536053883	0.4091545599
198	0.8539025357	0.4083154264
199	0.8545958796	0.4077175966
200	0.8546949287	0.4072480445
201	0.8547939778	0.4063874182
202	0.8544968304	0.405752951
203	0.8552892235	0.4049530664
204	0.8563787639	0.4040319259
205	0.8567749604	0.4029817896
206	0.8574683043	0.4025018809
207	0.8577654517	0.4017444742
208	0.8581616482	0.4013175224
209	0.858062599	0.401278087
210	0.8586568938	0.400610785
211	0.8591521395	0.4000257105
212	0.8598454834	0.3991951485
213	0.8606378764	0.3986846701
214	0.8607369255	0.3983005863
215	0.8610340729	0.3976560915
216	0.8619255151	0.3972766579
217	0.8627179081	0.3965218877
218	0.8624207607	0.3957549006
219	0.8635103011	0.3949455966
220	0.8638074485	0.3942551071
221	0.8630150555	0.3935715976
222	0.8644017433	0.3924073151
223	0.8641045959	0.3922818347
224	0.8645007924	0.3920522002
225	0.8646988906	0.3915197181
226	0.8646988906	0.3914723162
227	0.8654912837	0.3907252052
228	0.8659865293	0.3900486
229	0.8662836767	0.3892614622
230	0.8670760697	0.3882756493
231	0.8673732171	0.3876277031
232	0.8679675119	0.3872135512
233	0.8679675119	0.3871998319
234	0.8678684628	0.3864094045
235	0.868066561	0.3859553377
236	0.8682646593	0.3851804214
237	0.8682646593	0.3846365603
238	0.8682646593	0.3842476696
239	0.8685618067	0.3836649363
240	0.8691561014	0.3831700204
241	0.8692551506	0.382992807
242	0.8693541997	0.3817572235
243	0.8696513471	0.3812103769
244	0.8701465927	0.3803620995
245	0.8701465927	0.3798123064
246	0.8701465927	0.3788406906
247	0.8700475436	0.3788267127
248	0.8700475436	0.3788181999
249	0.8704437401	0.3781252706
250	0.8702456418	0.3774928655
251	0.8708399366	0.3768591945
252	0.8707408875	0.3762566664
253	0.8706418384	0.3755371446
254	0.8710380349	0.3747479123
255	0.8716323296	0.3739299086
256	0.8718304279	0.3731300202
257	0.871929477	0.373117784
258	0.8723256735	0.3724068948
259	0.87272187	0.3718345105
260	0.8728209192	0.3712754559
261	0.8729199683	0.37089531
262	0.8730190174	0.3705995462
263	0.8730190174	0.36986435
264	0.8734152139	0.3692496097
265	0.8741085578	0.3687726947
266	0.8739104596	0.3679225475
267	0.8745047544	0.3673342482
268	0.8747028526	0.3668698477
269	0.8751980983	0.3663987835
270	0.875	0.3658547663
271	0.8758914422	0.3651024833
272	0.8765847861	0.3645652484
273	0.8769809826	0.3639892205
274	0.8775752773	0.3636011219
275	0.8783676704	0.3630511781
276	0.8785657686	0.3623880735
277	0.8787638669	0.3617012426
278	0.878862916	0.3610076086
279	0.8797543582	0.3605617108
280	0.8799524564	0.3598659233
281	0.8801505547	0.359427006
282	0.8799524564	0.3586376759
283	0.8810419968	0.3580382669
284	0.8814381933	0.3573544866
285	0.8817353407	0.3569826745
286	0.8818343899	0.3560005846
287	0.8822305864	0.3552282219
288	0.8824286846	0.3549138266
289	0.8825277338	0.3545967644
290	0.8829239303	0.3538399384
291	0.883518225	0.3534755
292	0.8838153724	0.3530270464
293	0.8841125198	0.3526230133
294	0.8852020602	0.3520121557
295	0.885003962	0.3516522031
296	0.8849049128	0.3512267256
297	0.8852020602	0.3508744366
298	0.8854001585	0.35040668
299	0.8859944532	0.3498612152
300	0.8863906498	0.3491956885
301	0.8871830428	0.348454513
302	0.8872820919	0.3477569549
303	0.8872820919	0.3477491305
304	0.8872820919	0.3473633239
305	0.887381141	0.3473283808
306	0.8878763867	0.3467036768
307	0.8881735341	0.3462440172
308	0.8889659271	0.345466331
309	0.888866878	0.3450619129
310	0.8900554675	0.3446121947
311	0.8898573693	0.3438864516
312	0.8908478605	0.343239081
313	0.8910459588	0.3426217072
314	0.8911450079	0.3420315347
315	0.8910459588	0.3419438141
316	0.8913431062	0.3415230035
317	0.8910459588	0.3410393294
318	0.8908478605	0.3409129411
319	0.8915412044	0.3402612117
320	0.8917393027	0.3394210872
321	0.8918383518	0.3386926068
322	0.892729794	0.3380655671
323	0.8928288431	0.3380569077
324	0.892729794	0.3374617651
325	0.892729794	0.3374492593
326	0.8931259905	0.3370777616
327	0.8933240887	0.3364519924
328	0.8940174326	0.3358350121
329	0.8942155309	0.3353412283
330	0.8952060222	0.3343590674
331	0.8952060222	0.3338883179
332	0.8962955626	0.3332220125
333	0.8969889065	0.3325187784
334	0.8967908082	0.3320850252
335	0.8963946117	0.3317253659
336	0.8970879556	0.331391387
337	0.8975832013	0.3307208855
338	0.8980784469	0.329782433
339	0.8980784469	0.3291005666
340	0.898177496	0.3286683371
341	0.8982765452	0.3283462275
342	0.8982765452	0.3280200908
343	0.8985736926	0.3275027054
344	0.8992670365	0.3267183694
