iter	Passed	Remaining
0	1	4569
1	15	27463
2	24	28013
3	39	34365
4	53	37399
5	67	39452
6	81	40605
7	95	41682
8	100	38923
9	114	40134
10	129	41069
11	144	41892
12	158	42486
13	172	43002
14	188	43739
15	202	44173
16	216	44449
17	231	44748
18	246	45143
19	260	45341
20	275	45653
21	289	45809
22	304	45994
23	318	46174
24	333	46339
25	347	46424
26	362	46583
27	376	46731
28	390	46792
29	405	46856
30	419	46951
31	434	47044
32	448	47121
33	462	47188
34	476	47203
35	490	47226
36	504	47251
37	519	47332
38	533	47386
39	548	47424
40	562	47441
41	576	47453
42	592	47599
43	606	47622
44	620	47643
45	634	47642
46	649	47722
47	663	47742
48	677	47738
49	691	47721
50	705	47719
51	719	47739
52	734	47763
53	749	47805
54	763	47811
55	777	47828
56	791	47834
57	806	47843
58	820	47874
59	834	47852
60	848	47849
61	863	47888
62	877	47889
63	891	47881
64	906	47890
65	920	47886
66	934	47905
67	949	47907
68	964	47947
69	978	47968
70	993	47960
71	1006	47939
72	1021	47969
73	1036	47970
74	1050	47977
75	1065	48009
76	1079	47993
77	1094	48001
78	1108	48010
79	1122	47995
80	1136	47992
81	1150	47973
82	1165	47967
83	1179	47952
84	1193	47942
85	1208	47970
86	1222	47967
87	1237	47981
88	1252	48019
89	1266	47990
90	1280	47972
91	1295	48004
92	1311	48036
93	1325	48022
94	1340	48046
95	1354	48024
96	1368	48021
97	1383	48016
98	1397	48020
99	1412	48037
100	1426	48021
101	1440	48000
102	1455	48011
103	1469	47999
104	1484	47991
105	1498	47981
106	1512	47963
107	1526	47938
108	1540	47916
109	1554	47920
110	1570	47940
111	1584	47917
112	1597	47890
113	1611	47870
114	1626	47876
115	1640	47863
116	1655	47853
117	1669	47844
118	1684	47854
119	1698	47845
120	1712	47833
121	1726	47810
122	1741	47808
123	1755	47807
124	1769	47787
125	1784	47791
126	1799	47782
127	1813	47782
128	1828	47772
129	1842	47762
130	1857	47762
131	1871	47739
132	1885	47731
133	1899	47722
134	1914	47725
135	1929	47727
136	1943	47715
137	1959	47732
138	1973	47716
139	1987	47693
140	2001	47682
141	2016	47674
142	2030	47676
143	2045	47675
144	2060	47672
145	2074	47660
146	2088	47647
147	2103	47641
148	2118	47644
149	2133	47647
150	2147	47630
151	2162	47627
152	2176	47613
153	2191	47615
154	2206	47611
155	2220	47608
156	2235	47593
157	2249	47585
158	2264	47581
159	2279	47577
160	2293	47572
161	2308	47567
162	2322	47546
163	2336	47525
164	2350	47514
165	2365	47507
166	2380	47505
167	2395	47504
168	2409	47493
169	2423	47480
170	2438	47465
171	2452	47452
172	2467	47444
173	2481	47435
174	2496	47424
175	2511	47425
176	2525	47410
177	2540	47405
178	2554	47388
179	2568	47376
180	2583	47374
181	2598	47363
182	2612	47348
183	2626	47337
184	2640	47320
185	2655	47316
186	2669	47296
187	2683	47276
188	2697	47264
189	2712	47252
190	2726	47229
191	2740	47215
192	2755	47209
193	2769	47197
194	2783	47184
195	2798	47174
196	2813	47169
197	2828	47162
198	2842	47152
199	2856	47132
200	2871	47129
201	2886	47125
202	2901	47122
203	2915	47104
204	2930	47104
205	2945	47101
206	2959	47086
207	2974	47070
208	2988	47063
209	3003	47053
210	3018	47045
211	3032	47033
212	3047	47033
213	3062	47025
214	3077	47014
215	3092	47014
216	3107	47015
217	3122	47012
218	3137	47006
219	3152	46998
220	3166	46975
221	3180	46968
222	3195	46964
223	3210	46949
224	3224	46930
225	3240	46940
226	3255	46932
227	3269	46917
228	3284	46912
229	3298	46897
230	3312	46882
231	3327	46876
232	3342	46863
233	3356	46842
234	3370	46830
235	3385	46826
236	3399	46810
237	3413	46791
238	3428	46781
239	3442	46761
240	3456	46747
241	3471	46730
242	3486	46729
243	3500	46715
244	3515	46702
245	3529	46683
246	3543	46671
247	3557	46653
248	3572	46640
249	3586	46623
250	3600	46608
251	3615	46597
252	3629	46580
253	3643	46563
254	3657	46547
255	3672	46535
256	3687	46528
257	3702	46518
258	3716	46508
259	3731	46495
260	3744	46474
261	3759	46456
262	3773	46446
263	3788	46434
264	3802	46419
265	3816	46404
266	3830	46383
267	3845	46377
268	3859	46362
269	3874	46348
270	3888	46335
271	3903	46320
272	3917	46312
273	3931	46291
274	3945	46275
275	3960	46257
276	3974	46240
277	3989	46233
278	4004	46227
279	4018	46218
280	4033	46204
281	4047	46182
282	4062	46176
283	4076	46163
284	4092	46169
285	4106	46151
286	4121	46135
287	4136	46128
288	4150	46112
289	4164	46097
290	4178	46080
291	4193	46065
292	4207	46052
293	4221	46036
294	4235	46016
295	4249	45999
296	4263	45983
297	4278	45967
298	4292	45953
299	4306	45933
300	4320	45916
301	4334	45899
302	4348	45885
303	4363	45872
304	4378	45864
305	4393	45855
306	4407	45844
307	4422	45834
308	4436	45815
309	4450	45797
310	4464	45780
311	4479	45768
312	4494	45761
313	4509	45758
314	4524	45744
315	4538	45729
316	4552	45714
317	4567	45705
318	4583	45701
319	4598	45696
320	4612	45681
321	4627	45672
322	4642	45666
323	4658	45666
324	4673	45658
325	4688	45644
326	4703	45636
327	4718	45628
328	4733	45625
329	4749	45622
330	4764	45611
331	4779	45602
332	4793	45589
333	4808	45582
334	4823	45569
335	4838	45560
336	4852	45542
337	4867	45539
338	4883	45535
339	4897	45522
340	4912	45508
341	4927	45503
342	4943	45497
343	4958	45489
344	4974	45491
