iter	RMSE
0	75058.12357
1	74133.03156
2	73307.21834
3	72471.88263
4	71693.18805
5	70869.07356
6	69973.73331
7	69249.24751
8	68435.44171
9	67650.55681
10	66876.0359
11	66121.3437
12	65380.07296
13	64667.6937
14	63980.73375
15	63282.39361
16	62654.43828
17	61944.19393
18	61335.80939
19	60697.39919
20	60133.80255
21	59573.7844
22	59018.74541
23	58473.47454
24	57862.23464
25	57280.95984
26	56713.7199
27	56160.38435
28	55598.02337
29	55054.94294
30	54470.67359
31	54013.46761
32	53529.66158
33	53055.97161
34	52576.69263
35	52073.96302
36	51602.39811
37	51099.48233
38	50652.58176
39	50182.24203
40	49763.23304
41	49282.39799
42	48842.58999
43	48413.40751
44	47982.93365
45	47576.73232
46	47209.48342
47	46788.52078
48	46442.73925
49	46115.25244
50	45695.64576
51	45290.599
52	44898.23452
53	44568.49048
54	44197.95268
55	43864.1986
56	43504.67945
57	43197.01237
58	42845.70374
59	42523.10053
60	42150.76562
61	41886.1295
62	41614.08747
63	41310.62209
64	41021.5601
65	40753.28127
66	40438.17675
67	40156.90154
68	39844.78427
69	39622.0888
70	39332.32361
71	39079.21988
72	38814.46736
73	38590.62663
74	38341.84114
75	38074.01461
76	37875.55674
77	37661.06877
78	37416.61631
79	37150.89154
80	36913.99737
81	36735.13802
82	36520.21578
83	36301.68638
84	36119.66755
85	35915.54026
86	35674.58698
87	35468.51063
88	35278.51321
89	35116.71982
90	34912.502
91	34749.81321
92	34570.47496
93	34365.08082
94	34183.26452
95	33988.01913
96	33825.12069
97	33633.81188
98	33477.31964
99	33316.03063
100	33163.92904
101	33018.35581
102	32834.36858
103	32718.33794
104	32602.61677
105	32432.38392
106	32277.08661
107	32096.95424
108	31949.78524
109	31759.82583
110	31581.9015
111	31404.80353
112	31261.01464
113	31091.6971
114	30968.79597
115	30819.03554
116	30703.00958
117	30558.41516
118	30388.39203
119	30254.72242
120	30115.70847
121	29974.20652
122	29852.37503
123	29771.89756
124	29670.82697
125	29554.313
126	29447.75688
127	29393.69269
128	29248.86841
129	29130.20077
130	29036.97355
131	28917.11157
132	28803.3612
133	28674.12268
134	28588.34028
135	28459.70927
136	28365.35426
137	28283.08415
138	28162.83278
139	28078.44485
140	27980.60423
141	27899.19922
142	27798.20968
143	27713.36506
144	27630.95731
145	27518.98825
146	27500.64228
147	27397.27374
148	27292.42426
149	27201.09148
150	27115.8464
151	27004.38811
152	26946.45013
153	26869.20851
154	26771.91572
155	26750.83878
156	26641.81418
157	26581.11833
158	26518.37418
159	26424.05419
160	26330.81974
161	26236.13592
162	26161.6517
163	26101.94299
164	26033.49276
165	25940.44158
166	25922.05953
167	25821.58723
168	25771.63932
169	25715.32037
170	25624.28083
171	25557.40482
172	25462.26543
173	25399.83755
174	25335.18573
175	25280.39348
176	25219.11897
177	25146.99306
178	25098.89614
179	25050.54951
180	24984.82247
181	24897.29359
182	24810.88861
183	24757.90571
184	24724.75114
185	24666.03734
186	24586.90691
187	24561.98683
188	24508.88967
189	24421.51277
190	24373.72856
191	24306.7297
192	24250.91453
193	24193.20455
194	24135.72797
195	24087.5464
196	24047.0952
197	23972.3123
198	23899.26735
199	23841.82868
200	23822.45402
201	23739.17337
202	23706.03978
203	23626.8411
204	23570.55747
205	23522.97966
206	23479.70182
207	23447.88672
208	23403.50788
209	23390.27579
210	23350.25441
211	23297.75106
212	23247.47192
213	23224.98855
214	23184.85057
215	23131.50317
216	23101.30471
217	23060.1869
218	22974.05522
219	22908.98754
220	22897.47907
221	22852.43437
222	22815.83809
223	22806.05886
224	22756.30879
225	22741.52
226	22688.69365
227	22653.37199
228	22617.79053
229	22549.16515
230	22509.98475
231	22499.63907
232	22457.36197
233	22449.65865
234	22397.83247
235	22381.82538
236	22352.10624
237	22315.58041
238	22283.09207
239	22253.97542
240	22228.75375
241	22206.6267
242	22196.41291
243	22180.08062
244	22126.13999
245	22084.42951
246	22048.66846
247	22007.05324
248	21960.57083
249	21936.59913
250	21894.43152
251	21853.13217
252	21806.4068
253	21761.57024
254	21733.83567
255	21718.92942
256	21677.07406
257	21668.19643
258	21636.43647
259	21611.96188
260	21591.98332
261	21559.70635
262	21546.60334
263	21502.28813
264	21458.19005
265	21431.44417
266	21406.17422
267	21374.84049
268	21338.47349
269	21324.57697
270	21293.92423
271	21265.81545
272	21213.58591
273	21175.14609
274	21165.62818
275	21142.11359
276	21109.40496
277	21078.07793
278	21053.84588
279	21005.22822
280	20999.14365
281	20987.57351
282	20958.08669
283	20930.41213
284	20905.10045
285	20889.55471
286	20853.67796
287	20827.02433
288	20799.93703
289	20765.15006
290	20752.08109
291	20731.56764
292	20701.96944
293	20655.61901
294	20627.75409
295	20607.93044
296	20580.61784
297	20551.35724
298	20526.52306
299	20507.20381
300	20500.43074
301	20479.13474
302	20444.60387
303	20405.38994
304	20388.74508
305	20364.37772
306	20358.84278
307	20330.76605
308	20322.23289
309	20281.74064
310	20229.74381
311	20197.37291
312	20179.18875
313	20170.50873
314	20157.1121
315	20144.49724
316	20130.73922
317	20106.07881
318	20091.99544
319	20063.56522
320	20025.64977
321	20016.97917
322	20010.6792
323	19996.35976
324	19987.75074
325	19954.24029
326	19936.70562
327	19930.29538
328	19892.95516
329	19884.5281
330	19867.58607
331	19848.55279
332	19823.81465
333	19810.1968
