iter	Passed	Remaining
0	71	71925
1	80	40234
2	90	29928
3	98	24643
4	106	21223
5	113	18783
6	121	17284
7	131	16290
8	140	15519
9	154	15271
10	164	14808
11	172	14188
12	180	13673
13	187	13234
14	194	12799
15	205	12618
16	216	12535
17	226	12380
18	237	12267
19	250	12284
20	261	12198
21	271	12066
22	281	11969
23	291	11872
24	301	11758
25	310	11628
26	319	11501
27	327	11373
28	335	11236
29	343	11113
30	352	11009
31	359	10876
32	367	10776
33	376	10701
34	385	10625
35	393	10538
36	401	10440
37	408	10334
38	417	10298
39	426	10243
40	436	10210
41	444	10139
42	452	10074
43	461	10020
44	470	9985
45	480	9963
46	488	9901
47	496	9849
48	504	9795
49	513	9752
50	521	9710
51	530	9670
52	538	9623
53	547	9584
54	556	9564
55	565	9528
56	575	9523
57	581	9439
58	585	9345
59	596	9345
60	604	9303
61	613	9277
62	621	9246
63	629	9210
64	638	9183
65	647	9163
66	656	9135
67	665	9125
68	674	9096
69	683	9079
70	693	9071
71	701	9047
72	711	9038
73	720	9018
74	729	8997
75	740	9000
76	748	8974
77	760	8986
78	762	8891
79	769	8849
80	778	8836
81	787	8812
82	795	8789
83	804	8769
84	812	8742
85	822	8743
86	830	8711
87	839	8700
88	850	8704
89	858	8679
90	869	8681
91	877	8664
92	887	8652
93	896	8639
94	905	8626
95	914	8612
96	934	8700
97	944	8691
98	953	8677
99	961	8651
100	971	8647
101	978	8617
102	987	8603
103	997	8589
104	1007	8588
105	1017	8582
106	1027	8578
107	1037	8571
108	1047	8562
109	1057	8559
110	1066	8539
111	1075	8530
112	1084	8512
113	1093	8501
114	1103	8491
115	1111	8472
116	1118	8445
117	1129	8445
118	1136	8416
119	1145	8401
120	1154	8389
121	1164	8380
122	1167	8327
123	1176	8308
124	1185	8301
125	1193	8281
126	1217	8367
127	1228	8369
128	1237	8357
129	1250	8367
130	1263	8379
131	1274	8381
132	1280	8345
133	1288	8329
134	1301	8339
135	1313	8344
136	1323	8339
137	1331	8319
138	1339	8298
139	1348	8285
140	1357	8270
141	1367	8262
142	1372	8226
143	1379	8198
144	1388	8187
145	1396	8166
146	1406	8159
147	1415	8149
148	1423	8128
149	1432	8117
150	1442	8108
151	1451	8098
152	1461	8090
153	1470	8077
154	1479	8065
155	1489	8055
156	1498	8046
157	1508	8039
158	1518	8032
159	1527	8019
160	1535	7999
161	1544	7991
162	1555	7988
163	1567	7991
164	1579	7993
165	1589	7986
166	1598	7974
167	1605	7952
168	1614	7939
169	1623	7928
170	1632	7913
171	1642	7905
172	1650	7888
173	1660	7880
174	1667	7859
175	1673	7835
176	1681	7816
177	1691	7809
178	1700	7798
179	1708	7784
180	1714	7757
181	1722	7742
182	1729	7719
183	1736	7699
184	1741	7670
185	1748	7651
186	1757	7639
187	1765	7627
188	1774	7615
189	1783	7602
190	1792	7590
191	1801	7579
192	1810	7568
193	1820	7563
194	1828	7548
195	1836	7534
196	1845	7521
197	1849	7493
198	1857	7476
